bibliography.congress classifications,bibliography.languages,bibliography.subjects,bibliography.title,bibliography.type,metadata.downloads,metadata.id,metadata.rank,metadata.url,bibliography.author.birth,bibliography.author.death,bibliography.author.name,bibliography.publication.day,bibliography.publication.full,bibliography.publication.month,bibliography.publication.month name,bibliography.publication.year,metadata.formats.total,metadata.formats.types,metrics.difficulty.automated readability index,metrics.difficulty.coleman liau index,metrics.difficulty.dale chall readability score,metrics.difficulty.difficult words,metrics.difficulty.flesch kincaid grade,metrics.difficulty.flesch reading ease,metrics.difficulty.gunning fog,metrics.difficulty.linsear write formula,metrics.difficulty.smog index,metrics.sentiments.polarity,metrics.sentiments.subjectivity,metrics.statistics.average letter per word,metrics.statistics.average sentence length,metrics.statistics.average sentence per word,metrics.statistics.characters,metrics.statistics.polysyllables,metrics.statistics.sentences,metrics.statistics.syllables,metrics.statistics.words
PQ,en,French essays -- Translations into English,Essays of Michel de Montaigne — Complete,Text,5056,3600,45,https://www.gutenberg.org/ebooks/3600,1533,1592,"Montaigne, Michel de",17,"September 17, 2006",9,September,2006,8,"application/x-mobipocket-ebook,image/jpeg,text/plain; charset=us-ascii,text/html; charset=us-ascii,application/zip,application/rdf+xml,application/epub+zip,text/plain",20.5,11.09,6.61,36163,15.8,49.83,17.2,11,8.8,0.14339594,0.5253461388,4.79,38,0.03,2518187,17948,13566,745985.7,525749
PQ,en,"Epic poetry, Italian -- Translations into English;Italian poetry -- To 1400 -- Translations into English","The Divine Comedy by Dante, Illustrated",Text,4973,8800,46,https://www.gutenberg.org/ebooks/8800,1265,1321,Dante Alighieri,1,"September, 2005",9,September,2005,8,"image/jpeg,text/plain; charset=us-ascii,text/plain,application/zip,application/rdf+xml,application/epub+zip,text/html; charset=iso-8859-1,application/x-mobipocket-ebook",13.9,11.09,6.62,12004,9.5,71.48,12,26.5,3.1,0.1085123568,0.4944248343,4.84,25,0.04,525296,931,4318,138464.1,108513
PR,en,"Ghost stories;Scrooge, Ebenezer (Fictitious character) -- Fiction;Poor families -- Fiction;Christmas stories;London (England) -- Fiction;Misers -- Fiction;Sick children -- Fiction",A Christmas Carol in Prose; Being a Ghost Story of Christmas,Text,4741,46,47,https://www.gutenberg.org/ebooks/46,1812,1870,"Dickens, Charles",11,"August 11, 2004",8,August,2004,9,"image/jpeg,text/plain; charset=us-ascii,application/x-mobipocket-ebook,text/html; charset=iso-8859-1,application/zip,application/rdf+xml,application/epub+zip,text/plain; charset=iso-8859-1,text/plain",9.4,10.21,6.46,3668,6,80.62,8.4,13,3.1,0.1029713226,0.4994608844,4.79,16,0.06,136753,450,1716,37429.2,28541
PR,en,"England -- Fiction;Detective and mystery stories;Holmes, Sherlock (Fictitious character) -- Fiction;Private investigators -- England -- Fiction",A Study in Scarlet,Text,4703,244,48,https://www.gutenberg.org/ebooks/244,1859,1930,"Doyle, Arthur Conan",1,"April, 1995",4,April,1995,8,"text/plain; charset=us-ascii,text/plain,text/plain; charset=iso-8859-1,application/zip,application/rdf+xml,application/epub+zip,text/html; charset=iso-8859-1,application/x-mobipocket-ebook",9,9.8,6.4,5471,7.2,72.16,8.4,11,3.1,0.06919942617,0.4750967104,4.72,16,0.06,207047,1127,2669,59502.6,43863
PR,en,"Jungles -- Fiction;Jungle animals -- Fiction;Feral children -- Fiction;Mowgli (Fictitious character) -- Fiction;Adventure stories, English;Animals -- Fiction;Short stories;India -- Fiction",The Jungle Book,Text,4526,236,49,https://www.gutenberg.org/ebooks/236,1865,1936,"Kipling, Rudyard",16,"January 16, 2006",1,January,2006,7,"text/html; charset=us-ascii,text/plain; charset=us-ascii,text/plain,application/zip,application/rdf+xml,application/epub+zip,application/x-mobipocket-ebook",8.8,8.7,5.86,4450,5.2,88.06,8.8,9,3.1,0.03740099164,0.4545637425,4.53,17,0.06,230331,484,2873,63501.3,50835
PG,en,"Saint Petersburg (Russia) -- Fiction,Russia -- Fiction,Detective and mystery stories,Psychological fiction",Crime and Punishment,Text,4483,2554,50,https://www.gutenberg.org/ebooks/2554,1821,1881,"Dostoyevsky, Fyodor",28,"March 28, 2006",3,March,2006,8,"text/plain; charset=us-ascii,application/x-mobipocket-ebook,text/plain; charset=iso-8859-1,application/zip,application/rdf+xml,application/epub+zip,text/html; charset=iso-8859-1,text/plain",7.9,9.79,5.39,14257,6,75.2,7.2,8,3.1,0.04671630214,0.5033625439,4.77,13,0.07,971506,7095,14828,278055.9,203492
PA,en,"Classical literature;Epic poetry, Greek -- Translations into English;Achilles (Mythological character) -- Poetry;Trojan War -- Poetry",The Iliad,Text,4443,6130,51,https://www.gutenberg.org/ebooks/6130,-750,-650,Homer,1,September 2006,9,September,2006,11,"application/x-mobipocket-ebook,application/prs.tei,text/plain; charset=us-ascii,text/html; charset=utf-8,text/plain,application/octet-stream,application/zip,text/plain; charset=iso-8859-1,application/epub+zip,application/rdf+xml,application/pdf",14.7,12.31,6.17,16082,9.1,72.5,11.6,5.5,3.1,0.1097093929,0.522685411,5.05,24,0.04,957200,2876,7692,252473.4,189422
B,en,"Philosophy, German;Ethics",Beyond Good and Evil,Text,4347,4363,52,https://www.gutenberg.org/ebooks/4363,1844,1900,"Nietzsche, Friedrich Wilhelm",1,"August, 2003",8,August,2003,7,"text/html; charset=us-ascii,text/plain; charset=us-ascii,text/plain,application/zip,application/rdf+xml,application/epub+zip,application/x-mobipocket-ebook",21,13.94,7.92,10092,16.9,35.95,16,11,11.2,0.1123278481,0.5330417084,5.28,35,0.03,330833,4344,1779,97875.9,62652
PQ,en,"Satire,Optimism -- Fiction",Candide,Text,4339,19942,53,https://www.gutenberg.org/ebooks/19942,1694,1778,Voltaire,27,"November 27, 2006",11,November,2006,8,"text/html; charset=iso-8859-1,text/plain,text/plain; charset=iso-8859-1,application/zip,application/rdf+xml,application/epub+zip,text/plain; charset=us-ascii,application/x-mobipocket-ebook",11.4,11.02,6.78,4984,8.3,69.11,9.6,10.5,3.1,0.1460440424,0.5073950484,4.88,19,0.05,174417,972,1815,49873.5,35756
PR,en,"Linguistics teachers -- Drama,London (England) -- Drama,Flower vending -- Drama,Social classes -- Drama,Comedies,Speech and social status -- Drama",Pygmalion,Text,4287,3825,55,https://www.gutenberg.org/ebooks/3825,1856,1950,"Shaw, Bernard",1,"March, 2003",3,March,2003,6,"text/plain; charset=us-ascii,application/x-mobipocket-ebook,application/rdf+xml,application/epub+zip,text/html; charset=iso-8859-1,text/plain",7.5,9.9,6.13,4041,4.4,84.68,6.8,6.5,3.1,0.07226004796,0.5083710206,4.84,12,0.08,162315,877,2747,45265.5,33552
